dataset,column,display_name,category,data_type,unit,description,calculation,higher_means,missing_value_meaning,include_in_explorer,used_in,notes
All daily datasets,date,Date,identifier,date,YYYY-MM-DD,Calendar date used to align Stoic and Apple Health records.,Standardized by the project date utilities.,N/A,Invalid row,no,"All merges, timelines, analyses, visualizations, and dashboard tabs",Same-day analyses join on this value.
stoic_mental_health_daily.csv / master_daily.csv,symptoms_text,Symptoms Raw Response,symptom,text,,Raw coded Stoic symptom response.,Copied from the configured symptoms question.,N/A,No symptom answer,no,Processing audit,Use symptom indicator fields for analysis.
stoic_mental_health_daily.csv / master_daily.csv,automatic_thoughts_text,Automatic Thoughts,thought,text,,Free-text automatic thoughts recorded that day.,Copied from the automatic-thought question.,N/A,No thoughts recorded,no,Thought review and frequency,May contain multiple thoughts.
stoic_mental_health_daily.csv / master_daily.csv,relationship_security_score,Relationship Security Score,relationship,numeric,score,Self-reported relationship security.,Parsed from the configured Stoic question.,Better / more secure,No answer,yes,"Summary, relationships, predictions, lagged effects, consistency, baselines, explorer",Confirm the exact check-in scale.
stoic_mental_health_daily.csv / master_daily.csv,lowest_mood_duration_score,Lowest Mood Duration Score,mood,ordinal numeric,0-4 score,Encoded duration of the day's lowest mood.,Parsed from the configured Stoic question.,Longer duration / potentially worse,No answer,yes,"Mood, recovery, summaries, explorer",0=<30 minutes; 1=30 minutes-2 hours; 2=2-6 hours; 3=most of day; 4=multiple days.
stoic_mental_health_daily.csv / master_daily.csv,lowest_mood_score,Lowest Mood Score,mood,numeric,score,Lowest mood reported during the day.,Parsed from the configured Stoic question.,Better mood,No answer,yes,Primary mood outcome throughout files 4-6,Higher values are interpreted as better.
stoic_mental_health_daily.csv / master_daily.csv,triggers_text,Triggers Raw Response,trigger,text,,Raw coded trigger response.,Copied from the configured trigger question.,N/A,No trigger answer,no,Processing audit,Use trigger indicator fields for analysis.
stoic_mental_health_daily.csv / master_daily.csv,recovery_methods_text,Recovery Methods Raw Response,recovery,text,,Raw coded recovery-method response.,Copied from the configured recovery question.,N/A,No recovery answer,no,Processing audit,Use recovery indicator fields for analysis.
stoic_mental_health_daily.csv / master_daily.csv,lowest_mood_duration_label,Lowest Mood Duration Label,mood,categorical,,Readable duration category.,Mapped from lowest_mood_duration_score.,N/A,No duration score,no,Reports and dashboard labels,
stoic_mental_health_daily.csv / master_daily.csv,trigger_labels,Trigger Labels,trigger,text,,Readable selected triggers separated by semicolons.,Mapped from trigger codes.,N/A,No trigger response,no,Reports and debugging,
stoic_mental_health_daily.csv / master_daily.csv,symptom_labels,Symptom Labels,symptom,text,,Readable selected symptoms separated by semicolons.,Mapped from symptom codes.,N/A,No symptom response,no,Reports and debugging,
stoic_mental_health_daily.csv / master_daily.csv,recovery_labels,Recovery Labels,recovery,text,,Readable selected recovery responses separated by semicolons.,Mapped from recovery codes.,N/A,No recovery response,no,Reports and debugging,
stoic_mental_health_daily.csv / master_daily.csv,trigger_count,Trigger Count,trigger,numeric,count,Number of selected triggers.,Count of trigger codes.,More triggers recorded,No response,no,Descriptive summaries only,Excluded from ranked associations because it is derived from indicators.
stoic_mental_health_daily.csv / master_daily.csv,symptom_count,Symptom Count,symptom,numeric,count,Number of selected symptoms excluding None.,Count of symptom codes except code 9.,More symptoms recorded,No response,no,Descriptive summaries only,Excluded from ranked associations.
stoic_mental_health_daily.csv / master_daily.csv,recovery_count,Recovery Method Count,recovery,numeric,count,Number of selected recovery responses.,Count of recovery codes.,More methods recorded,No response,no,Descriptive summaries only,Excluded from ranked associations.
stoic_mental_health_daily.csv / master_daily.csv,automatic_thought_count,Automatic Thought Count,thought,numeric,count,Number of parsed automatic thoughts.,Count after splitting supported separators.,More recorded thoughts,No response,yes,"Mood, lagged effects, explorer",Interpret with entry consistency.
stoic_mental_health_daily.csv / master_daily.csv,automatic_thought_any,Any Automatic Thought,thought,binary,0/1,Whether at least one automatic thought was recorded.,1 when automatic_thought_count > 0.,Presence of a thought,No check-in,yes,With-vs-without summaries and predictions,
stoic_mental_health_daily.csv / master_daily.csv,trigger_nothing_obvious,No Obvious Trigger,trigger,binary,0/1,Whether no obvious trigger was selected.,1 when its Stoic trigger code was selected; otherwise 0.,Presence of the trigger,No completed trigger response,yes,"Summary, predictions, trigger views, things to watch, explorer",Analyze against mood/health outcomes rather than against trigger counts.
stoic_mental_health_daily.csv / master_daily.csv,trigger_loneliness,Loneliness Trigger,trigger,binary,0/1,Whether loneliness trigger was selected.,1 when its Stoic trigger code was selected; otherwise 0.,Presence of the trigger,No completed trigger response,yes,"Summary, predictions, trigger views, things to watch, explorer",Analyze against mood/health outcomes rather than against trigger counts.
stoic_mental_health_daily.csv / master_daily.csv,trigger_relationship_uncertainty,Relationship Uncertainty Trigger,trigger,binary,0/1,Whether relationship uncertainty trigger was selected.,1 when its Stoic trigger code was selected; otherwise 0.,Presence of the trigger,No completed trigger response,yes,"Summary, predictions, trigger views, things to watch, explorer",Analyze against mood/health outcomes rather than against trigger counts.
